period,Type,species,average,JulianDate,Month,Year,Timing
256,0,DM,284.2305929,2451341,June,1999,Preflood
256,0,DO,98.44180347,2451341,June,1999,Preflood
256,0,DS,18.26259109,2451341,June,1999,Preflood
256,0,NA,26.55181587,2451341,June,1999,Preflood
256,0,OT,28.24708185,2451341,June,1999,Preflood
256,0,PB,34.20161665,2451341,June,1999,Preflood
256,0,PM,5.381269755,2451341,June,1999,Preflood
256,0,PP,37.77272013,2451341,June,1999,Preflood
257,0,DM,32.40986814,2451432,September,1999,Postflood
257,0,NA,94.13805202,2451432,September,1999,Postflood
257,0,PB,8.708632499,2451432,September,1999,Postflood
257,0,PP,26.28918466,2451432,September,1999,Postflood
266,0,DM,179.8906488,2451726,June,2000,Postflood
266,0,DO,65.83481472,2451726,June,2000,Postflood
266,0,OT,53.63457583,2451726,June,2000,Postflood
266,0,PB,232.6918968,2451726,June,2000,Postflood
266,0,PP,213.4706858,2451726,June,2000,Postflood
